source,destination,holding_time
0,4,3
0,3,67
0,4,58
7,4,3
0,3,63
0,4,2
7,3,5
0,3,2
0,4,5
7,3,4
7,4,46
7,3,25
0,4,82
0,4,3
0,4,13
0,4,2
7,3,3
0,3,6
0,3,29
0,4,7
0,3,11
7,3,28
7,3,6
0,3,3
7,3,4
0,4,2
0,3,14
7,3,10
0,3,2
7,3,13
0,3,2
7,3,27
7,3,26
7,4,67
7,3,4
7,3,38
0,3,64
0,4,49
7,3,62
7,4,4
0,3,5
0,4,2
7,3,11
0,4,57
0,4,56
7,4,55
0,3,21
7,3,5
0,3,6
0,4,11
7,4,10
7,3,6
7,4,5
0,3,21
0,4,10
7,3,28
0,3,34
0,3,43
7,3,8
7,3,24
7,3,9
0,4,4
7,3,3
0,3,3
0,4,9
0,3,35
0,4,12
0,3,9
7,3,3
0,3,2
0,3,30
7,4,11
7,4,2
7,4,27
0,4,26
7,3,22
7,3,7
0,3,4
7,3,11
7,3,6
7,4,3
0,3,7
7,4,18
0,3,13
0,4,10
0,3,11
7,4,14
0,3,6
0,3,11
0,4,2
0,3,10
0,3,2
7,3,4
0,3,7
7,4,2
7,3,5
7,3,2
7,4,3
7,3,2
7,4,1
